Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612265574	00032100	00007400	00000000	00000042	00000889	00000004	-70.626000	-154.850000	-83.900000	359.999000	0.001000	True	2314,43
L		1631612265574	00032102	00007402	00000000	00000042	00000893	00000004	-70.566000	-154.850000	-83.900000	359.999000	0.001000	False	2782,62
L		1631612265574	00032104	00007404	00000000	00000042	00000897	00000004	-70.508000	-154.850000	-83.900000	359.999000	0.001000	False	2829,87
L		1631612265574	00032106	00007406	00000000	00000042	00000901	00000004	-70.447000	-154.850000	-83.900000	359.999000	0.001000	False	1959,5
L		1631612265590	00032108	00007408	00000000	00000042	00000905	00000004	-70.388000	-154.850000	-83.900000	359.999000	0.001000	False	2970,11
L		1631612265590	00032111	00007411	00000000	00000042	00000911	00000006	-70.297000	-154.850000	-83.900000	359.999000	0.001000	True	1356,8
L		1631612265590	00032113	00007413	00000000	00000042	00000915	00000004	-70.237000	-154.850000	-83.900000	359.999000	0.001000	True	567,78
L		1631612265590	00032115	00007415	00000000	00000042	00000919	00000004	-70.176000	-154.850000	-83.900000	359.999000	0.001000	False	1557,83
L		1631612265605	00032117	00007417	00000000	00000042	00000923	00000004	-70.114000	-154.850000	-83.900000	359.999000	0.001000	False	1164,4
L		1631612265605	00032119	00007419	00000000	00000042	00000927	00000004	-70.052000	-154.850000	-83.900000	359.999000	0.001000	True	2729,78
L		1631612265605	00032121	00007421	00000000	00000042	00000931	00000004	-69.991000	-154.850000	-83.900000	359.999000	0.001000	True	2220,3
L		1631612265621	00032123	00007423	00000000	00000042	00000935	00000004	-69.930000	-154.850000	-83.900000	359.999000	0.001000	False	1084,71
L		1631612265621	00032125	00007425	00000000	00000042	00000939	00000004	-69.870000	-154.850000	-83.900000	359.999000	0.001000	True	1775,01
L		1631612265621	00032127	00007427	00000000	00000042	00000943	00000004	-69.811000	-154.850000	-83.900000	359.999000	0.001000	True	280,01
L		1631612265621	00032129	00007429	00000000	00000042	00000947	00000004	-69.751000	-154.850000	-83.900000	359.999000	0.001000	False	2098,62
L		1631612265637	00032131	00007431	00000000	00000042	00000951	00000004	-69.691000	-154.850000	-83.900000	359.999000	0.001000	False	1623,58
L		1631612265637	00032133	00007433	00000000	00000042	00000955	00000004	-69.633000	-154.850000	-83.900000	359.999000	0.001000	True	1707,27
L		1631612265637	00032135	00007435	00000000	00000042	00000959	00000004	-69.572000	-154.850000	-83.900000	359.999000	0.001000	True	962,16
L		1631612265637	00032137	00007437	00000000	00000042	00000963	00000004	-69.513000	-154.850000	-83.900000	359.999000	0.001000	True	2069,27
L		1631612265652	00032139	00007439	00000000	00000042	00000967	00000004	-69.453000	-154.850000	-83.900000	359.999000	0.001000	True	478,06
L		1631612265652	00032141	00007441	00000000	00000042	00000971	00000004	-69.392000	-154.850000	-83.900000	359.999000	0.001000	False	151,65
L		1631612265652	00032143	00007443	00000000	00000042	00000975	00000004	-69.331000	-154.850000	-83.900000	359.999000	0.001000	False	1340,44
L		1631612265652	00032145	00007445	00000000	00000042	00000979	00000004	-69.271000	-154.850000	-83.900000	359.999000	0.001000	True	2656,36
L		1631612265668	00032147	00007447	00000000	00000042	00000983	00000004	-69.209000	-154.850000	-83.900000	359.999000	0.001000	True	2247,42
L		1631612265668	00032149	00007449	00000000	00000042	00000987	00000004	-69.148000	-154.850000	-83.900000	359.999000	0.001000	False	1369,5
L		1631612265668	00032151	00007451	00000000	00000042	00000991	00000004	-69.087000	-154.850000	-83.900000	359.999000	0.001000	True	2333,93
L		1631612265668	00032153	00007453	00000000	00000042	00000995	00000004	-69.025000	-154.850000	-83.900000	359.999000	0.001000	True	642,24
L		1631612265683	00032155	00007455	00000000	00000042	00000999	00000004	-68.964000	-154.850000	-83.900000	359.999000	0.001000	True	2912,59
L		1631612265683	00032157	00007457	00000000	00000043	00000003	00000004	-68.904000	-154.850000	-83.900000	359.999000	0.001000	False	2171,22
L		1631612265683	00032159	00007459	00000000	00000043	00000007	00000004	-68.843000	-154.850000	-83.900000	359.999000	0.001000	True	437,04
L		1631612265683	00032161	00007461	00000000	00000043	00000011	00000004	-68.785000	-154.850000	-83.900000	359.999000	0.001000	True	1928,9
L		1631612265699	00032163	00007463	00000000	00000043	00000015	00000004	-68.726000	-154.850000	-83.900000	359.999000	0.001000	False	733,06
L		1631612265699	00032165	00007465	00000000	00000043	00000019	00000004	-68.667000	-154.850000	-83.900000	359.999000	0.001000	True	2440,1
L		1631612265699	00032167	00007467	00000000	00000043	00000023	00000004	-68.608000	-154.850000	-83.900000	359.999000	0.001000	False	2887,66
L		1631612265699	00032169	00007469	00000000	00000043	00000027	00000004	-68.549000	-154.850000	-83.900000	359.999000	0.001000	False	2704,87
L		1631612265716	00032172	00007472	00000000	00000043	00000033	00000006	-68.459000	-154.850000	-83.900000	359.999000	0.001000	True	1603,65
L		1631612265716	00032174	00007474	00000000	00000043	00000037	00000004	-68.400000	-154.850000	-83.900000	359.999000	0.001000	False	218,17
L		1631612265716	00032176	00007476	00000000	00000043	00000041	00000004	-68.340000	-154.850000	-83.900000	359.999000	0.001000	False	607,81
L		1631612265716	00032178	00007478	00000000	00000043	00000045	00000004	-68.279000	-154.850000	-83.900000	359.999000	0.001000	False	1979,37
L		1631612265731	00032180	00007481	00000000	00000043	00000049	00000004	-68.187000	-154.850000	-83.900000	359.999000	0.001000	True	2035,15
L		1631612265731	00032183	00007483	00000000	00000043	00000055	00000006	-68.126000	-154.850000	-83.900000	359.999000	0.001000	True	1954,35
L		1631612265731	00032185	00007485	00000000	00000043	00000059	00000004	-68.063000	-154.850000	-83.900000	359.999000	0.001000	True	938,2
L		1631612265747	00032187	00007487	00000000	00000043	00000063	00000004	-68.001000	-154.850000	-83.900000	359.999000	0.001000	False	252
L		1631612265747	00032189	00007489	00000000	00000043	00000067	00000004	-67.940000	-154.850000	-83.900000	359.999000	0.001000	False	1431,18
L		1631612265747	00032191	00007491	00000000	00000043	00000071	00000004	-67.880000	-154.850000	-83.900000	359.999000	0.001000	False	905,01
L		1631612265747	00032193	00007493	00000000	00000043	00000075	00000004	-67.819000	-154.850000	-83.900000	359.999000	0.001000	True	1919,59
L		1631612265763	00032195	00007495	00000000	00000043	00000079	00000004	-67.761000	-154.850000	-83.900000	359.999000	0.001000	True	1520,9
L		1631612265763	00032198	00007498	00000000	00000043	00000085	00000006	-67.673000	-154.850000	-83.900000	359.999000	0.001000	True	1167,42
L		1631612265763	00032200	00007500	00000000	00000043	00000089	00000004	-67.614000	-154.850000	-83.900000	359.999000	0.001000	False	1782,49
L		1631612265778	00032202	00007502	00000000	00000043	00000093	00000004	-67.555000	-154.850000	-83.900000	359.999000	0.001000	True	1409,3
L		1631612265778	00032204	00007504	00000000	00000043	00000097	00000004	-67.496000	-154.850000	-83.900000	359.999000	0.001000	False	1420,61
L		1631612265778	00032206	00007506	00000000	00000043	00000101	00000004	-67.436000	-154.850000	-83.900000	359.999000	0.001000	False	2604,13
L		1631612265778	00032208	00007508	00000000	00000043	00000105	00000004	-67.376000	-154.850000	-83.900000	359.999000	0.001000	True	485,38
L		1631612265794	00032210	00007510	00000000	00000043	00000109	00000004	-67.315000	-154.850000	-83.900000	359.999000	0.001000	False	1364,98
L		1631612265794	00032213	00007513	00000000	00000043	00000115	00000006	-67.224000	-154.850000	-83.900000	359.999000	0.001000	True	1170,2
L		1631612265794	00032215	00007515	00000000	00000043	00000119	00000004	-67.162000	-154.850000	-83.900000	359.999000	0.001000	False	551,43
L		1631612265794	00032217	00007517	00000000	00000043	00000123	00000004	-67.099000	-154.850000	-83.900000	359.999000	0.001000	True	2592,15
L		1631612265810	00032219	00007519	00000000	00000043	00000127	00000004	-67.039000	-154.850000	-83.900000	359.999000	0.001000	False	209,94
L		1631612265810	00032221	00007521	00000000	00000043	00000131	00000004	-66.977000	-154.850000	-83.900000	359.999000	0.001000	True	2249,79
L		1631612265810	00032223	00007523	00000000	00000043	00000135	00000004	-66.919000	-154.850000	-83.900000	359.999000	0.001000	True	668,38
L		1631612265810	00032225	00007525	00000000	00000043	00000139	00000004	-66.859000	-154.850000	-83.900000	359.999000	0.001000	False	1388,38
L		1631612265825	00032228	00007528	00000000	00000043	00000145	00000006	-66.771000	-154.850000	-83.900000	359.999000	0.001000	False	2381,35
L		1631612265825	00032230	00007530	00000000	00000043	00000149	00000004	-66.712000	-154.850000	-83.900000	359.999000	0.001000	True	2083,61
L		1631612265825	00032232	00007532	00000000	00000043	00000153	00000004	-66.653000	-154.850000	-83.900000	359.999000	0.001000	True	1221,76
L		1631612265841	00032234	00007534	00000000	00000043	00000157	00000004	-66.593000	-154.850000	-83.900000	359.999000	0.001000	True	2002,23
L		1631612265841	00032236	00007536	00000000	00000043	00000161	00000004	-66.535000	-154.850000	-83.900000	359.999000	0.001000	False	1458,45
L		1631612265841	00032238	00007538	00000000	00000043	00000165	00000004	-66.474000	-154.850000	-83.900000	359.999000	0.001000	True	2362,19
L		1631612265841	00032240	00007540	00000000	00000043	00000169	00000004	-66.415000	-154.850000	-83.900000	359.999000	0.001000	False	2582,32
L		1631612265856	00032243	00007543	00000000	00000043	00000175	00000006	-66.325000	-154.850000	-83.900000	359.999000	0.001000	False	1903,06
L		1631612265856	00032245	00007545	00000000	00000043	00000179	00000004	-66.264000	-154.850000	-83.900000	359.999000	0.001000	False	60,4
L		1631612265856	00032247	00007547	00000000	00000043	00000183	00000004	-66.203000	-154.850000	-83.900000	359.999000	0.001000	False	2211,64
L		1631612265872	00032249	00007549	00000000	00000043	00000187	00000004	-66.141000	-154.850000	-83.900000	359.999000	0.001000	True	2295,26
L		1631612265872	00032251	00007551	00000000	00000043	00000191	00000004	-66.078000	-154.850000	-83.900000	359.999000	0.001000	True	1416,12
L		1631612265872	00032253	00007553	00000000	00000043	00000195	00000004	-66.017000	-154.850000	-83.900000	359.999000	0.001000	False	1386,01
L		1631612265872	00032255	00007555	00000000	00000043	00000199	00000004	-65.956000	-154.850000	-83.900000	359.999000	0.001000	True	1640,01
L		1631612265888	00032257	00007557	00000000	00000043	00000203	00000004	-65.896000	-154.850000	-83.900000	359.999000	0.001000	True	1250,06
L		1631612265888	00032259	00007559	00000000	00000043	00000207	00000004	-65.836000	-154.850000	-83.900000	359.999000	0.001000	True	287,88
L		1631612265888	00032261	00007561	00000000	00000043	00000211	00000004	-65.777000	-154.850000	-83.900000	359.999000	0.001000	False	1984,6
L		1631612265888	00032263	00007563	00000000	00000043	00000215	00000004	-65.718000	-154.850000	-83.900000	359.999000	0.001000	True	115,89
L		1631612265903	00032265	00007565	00000000	00000043	00000219	00000004	-65.660000	-154.850000	-83.900000	359.999000	0.001000	True	1818,87
L		1631612265903	00032268	00007568	00000000	00000043	00000225	00000006	-65.572000	-154.850000	-83.900000	359.999000	0.001000	False	1905,7
L		1631612265903	00032270	00007570	00000000	00000043	00000229	00000004	-65.512000	-154.850000	-83.900000	359.999000	0.001000	False	2006,55
L		1631612265919	00032273	00007573	00000000	00000043	00000235	00000006	-65.423000	-154.850000	-83.900000	359.999000	0.001000	True	1749,38
L		1631612265919	00032275	00007575	00000000	00000043	00000239	00000004	-65.363000	-154.850000	-83.900000	359.999000	0.001000	False	2573,72
L		1631612265919	00032277	00007577	00000000	00000043	00000243	00000004	-65.302000	-154.850000	-83.900000	359.999000	0.001000	True	387,98
L		1631612265919	00032279	00007579	00000000	00000043	00000247	00000004	-65.241000	-154.850000	-83.900000	359.999000	0.001000	True	2054,83
L		1631612265934	00032281	00007581	00000000	00000043	00000251	00000004	-65.180000	-154.850000	-83.900000	359.999000	0.001000	False	663,06
L		1631612265934	00032284	00007584	00000000	00000043	00000257	00000006	-65.087000	-154.850000	-83.900000	359.999000	0.001000	False	188,03
L		1631612265934	00032286	00007586	00000000	00000043	00000261	00000004	-65.025000	-154.850000	-83.900000	359.999000	0.001000	True	663,14
L		1631612265950	00032288	00007588	00000000	00000043	00000265	00000004	-64.962000	-154.850000	-83.900000	359.999000	0.001000	True	2857,4
L		1631612265950	00032291	00007591	00000000	00000043	00000271	00000006	-64.873000	-154.850000	-83.900000	359.999000	0.001000	True	2775,67
L		1631612265950	00032293	00007593	00000000	00000043	00000275	00000004	-64.813000	-154.850000	-83.900000	359.999000	0.001000	False	264,39
L		1631612265950	00032295	00007595	00000000	00000043	00000279	00000004	-64.754000	-154.850000	-83.900000	359.999000	0.001000	True	2394,1
L		1631612265966	00032297	00007597	00000000	00000043	00000283	00000004	-64.694000	-154.850000	-83.900000	359.999000	0.001000	False	1271,43
L		1631612265966	00032299	00007599	00000000	00000043	00000287	00000004	-64.637000	-154.850000	-83.900000	359.999000	0.001000	False	213,75
L		1631612265966	00032301	00007601	00000000	00000043	00000291	00000004	-64.578000	-154.850000	-83.900000	359.999000	0.001000	True	2877,41
L		1631612265981	00032303	00007603	00000000	00000043	00000295	00000004	-64.519000	-154.850000	-83.900000	359.999000	0.001000	False	1753,04
L		1631612265981	00032305	00007605	00000000	00000043	00000299	00000004	-64.459000	-154.850000	-83.900000	359.999000	0.001000	True	1755,03
L		1631612265981	00032308	00007608	00000000	00000043	00000305	00000006	-64.370000	-154.850000	-83.900000	359.999000	0.001000	False	1952,05
L		1631612265981	00032310	00007610	00000000	00000043	00000309	00000004	-64.309000	-154.850000	-83.900000	359.999000	0.001000	True	2483,98
L		1631612265997	00032312	00007612	00000000	00000043	00000313	00000004	-64.249000	-154.850000	-83.900000	359.999000	0.001000	False	946,14
L		1631612265997	00032314	00007614	00000000	00000043	00000317	00000004	-64.188000	-154.850000	-83.900000	359.999000	0.001000	True	1698,81
L		1631612265997	00032316	00007616	00000000	00000043	00000321	00000004	-64.126000	-154.850000	-83.900000	359.999000	0.001000	True	1690,87
L		1631612265997	00032318	00007618	00000000	00000043	00000325	00000004	-64.063000	-154.850000	-83.900000	359.999000	0.001000	False	932,15
L		1631612266013	00032320	00007620	00000000	00000043	00000329	00000004	-64.001000	-154.850000	-83.900000	359.999000	0.001000	False	2357,78
