Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612264573	00031600	00006900	00000000	00000041	00000889	00000004	-72.383000	-155.350000	-83.900000	359.999000	0.001000	True	1896,43
L		1631612264573	00031602	00006902	00000000	00000041	00000893	00000004	-72.444000	-155.350000	-83.900000	359.999000	0.001000	False	1417,39
L		1631612264573	00031604	00006904	00000000	00000041	00000897	00000004	-72.506000	-155.350000	-83.900000	359.999000	0.001000	False	2453,63
L		1631612264573	00031606	00006906	00000000	00000041	00000901	00000004	-72.566000	-155.350000	-83.900000	359.999000	0.001000	False	1597,42
L		1631612264589	00031608	00006908	00000000	00000041	00000905	00000004	-72.629000	-155.350000	-83.900000	359.999000	0.001000	True	1134,85
L		1631612264589	00031610	00006910	00000000	00000041	00000909	00000004	-72.690000	-155.350000	-83.900000	359.999000	0.001000	True	522,17
L		1631612264589	00031612	00006912	00000000	00000041	00000913	00000004	-72.751000	-155.350000	-83.900000	359.999000	0.001000	False	211,96
L		1631612264589	00031614	00006914	00000000	00000041	00000917	00000004	-72.812000	-155.350000	-83.900000	359.999000	0.001000	False	32,53
L		1631612264604	00031616	00006916	00000000	00000041	00000921	00000004	-72.872000	-155.350000	-83.900000	359.999000	0.001000	False	714,97
L		1631612264604	00031618	00006918	00000000	00000041	00000925	00000004	-72.932000	-155.350000	-83.900000	359.999000	0.001000	False	2224,5
L		1631612264604	00031620	00006920	00000000	00000041	00000929	00000004	-73.021000	-155.350000	-83.900000	359.999000	0.001000	True	2647,63
L		1631612264620	00031623	00006923	00000000	00000041	00000935	00000006	-73.080000	-155.350000	-83.900000	359.999000	0.001000	True	1784,47
L		1631612264620	00031625	00006925	00000000	00000041	00000939	00000004	-73.139000	-155.350000	-83.900000	359.999000	0.001000	True	1805,45
L		1631612264620	00031627	00006927	00000000	00000041	00000943	00000004	-73.197000	-155.350000	-83.900000	359.999000	0.001000	False	2874,27
L		1631612264620	00031629	00006929	00000000	00000041	00000947	00000004	-73.258000	-155.350000	-83.900000	359.999000	0.001000	False	1595,25
L		1631612264636	00031631	00006931	00000000	00000041	00000951	00000004	-73.318000	-155.350000	-83.900000	359.999000	0.001000	False	2197,89
L		1631612264636	00031633	00006933	00000000	00000041	00000955	00000004	-73.378000	-155.350000	-83.900000	359.999000	0.001000	True	2257,67
L		1631612264636	00031635	00006935	00000000	00000041	00000959	00000004	-73.438000	-155.350000	-83.900000	359.999000	0.001000	True	13,54
L		1631612264636	00031637	00006937	00000000	00000041	00000963	00000004	-73.500000	-155.350000	-83.900000	359.999000	0.001000	True	2390,84
