Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612263573	00031100	00006400	00000000	00000040	00000889	00000004	-62.197000	-155.890000	-83.900000	359.999000	0.001000	False	201,48
L		1631612263573	00031102	00006402	00000000	00000040	00000893	00000004	-62.138000	-155.890000	-83.900000	359.999000	0.001000	False	1305,74
L		1631612263573	00031104	00006404	00000000	00000040	00000897	00000004	-62.081000	-155.890000	-83.900000	359.999000	0.001000	True	960,71
L		1631612263573	00031106	00006406	00000000	00000040	00000901	00000004	-62.028000	-155.890000	-83.900000	359.999000	0.001000	True	1233,19
L		1631612263589	00031108	00006408	00000000	00000040	00000905	00000004	-61.977000	-155.890000	-83.900000	359.999000	0.001000	True	2634,21
L		1631612263589	00031110	00006410	00000000	00000040	00000909	00000004	-61.931000	-155.890000	-83.900000	359.999000	0.001000	True	2736,27
L		1631612263589	00031113	00006413	00000000	00000040	00000915	00000006	-61.872000	-155.890000	-83.900000	359.999000	0.001000	True	433,05
L		1631612263605	00031115	00006415	00000000	00000040	00000919	00000004	-61.840000	-155.890000	-83.900000	359.999000	0.001000	True	2409,72
L		1631612263605	00031117	00006417	00000000	00000040	00000923	00000004	-61.814000	-155.890000	-83.900000	359.999000	0.001000	False	656,64
L		1631612263605	00031119	00006419	00000000	00000040	00000927	00000004	-61.793000	-155.890000	-83.900000	359.999000	0.001000	False	2090,36
L		1631612263620	00031123	00006423	00000000	00000040	00000935	00000008	-61.768000	-155.890000	-83.900000	359.999000	0.001000	True	81,88
L		1631612263620	00031125	00006425	00000000	00000040	00000939	00000004	-61.763000	-155.890000	-83.900000	359.999000	0.001000	True	113,82
L		1631612263620	00031127	00006427	00000000	00000040	00000943	00000004	-61.763000	-155.890000	-83.900000	359.999000	0.001000	True	1484,89
L		1631612263620	00031129	00006429	00000000	00000040	00000947	00000004	-61.766000	-155.890000	-83.900000	359.999000	0.001000	True	1790,48
L		1631612263636	00031131	00006431	00000000	00000040	00000951	00000004	-61.771000	-155.890000	-83.900000	359.999000	0.001000	False	2598,25
L		1631612263636	00031133	00006433	00000000	00000040	00000955	00000004	-61.779000	-155.890000	-83.900000	359.999000	0.001000	False	416,97
L		1631612263636	00031135	00006435	00000000	00000040	00000959	00000004	-61.786000	-155.890000	-83.900000	359.999000	0.001000	False	2959,36
L		1631612263636	00031137	00006437	00000000	00000040	00000963	00000004	-61.793000	-155.890000	-83.900000	359.999000	0.001000	True	433,07
L		1631612263652	00031139	00006439	00000000	00000040	00000967	00000004	-61.798000	-155.880000	-83.900000	359.999000	0.001000	False	2690,38
L		1631612263652	00031141	00006441	00000000	00000040	00000971	00000004	-61.803000	-155.880000	-83.900000	359.999000	0.001000	False	411,51
L		1631612263652	00031143	00006443	00000000	00000040	00000975	00000004	-61.807000	-155.880000	-83.900000	359.999000	0.001000	True	2074,36
L		1631612263652	00031145	00006445	00000000	00000040	00000979	00000004	-61.810000	-155.880000	-83.900000	359.999000	0.001000	False	487,91
L		1631612263667	00031147	00006447	00000000	00000040	00000983	00000004	-61.811000	-155.880000	-83.900000	359.999000	0.001000	False	1486,69
L		1631612263667	00031149	00006449	00000000	00000040	00000987	00000004	-61.812000	-155.880000	-83.900000	359.999000	0.001000	False	2446,64
L		1631612263667	00031151	00006451	00000000	00000040	00000991	00000004	-61.812000	-155.880000	-83.900000	359.999000	0.001000	False	1486,96
L		1631612263667	00031153	00006453	00000000	00000040	00000995	00000004	-61.813000	-155.880000	-83.900000	359.999000	0.001000	True	1886,72
L		1631612263683	00031155	00006455	00000000	00000040	00000999	00000004	-61.813000	-155.880000	-83.900000	359.999000	0.001000	True	612,04
L		1631612263683	00031157	00006457	00000000	00000041	00000003	00000004	-61.813000	-155.880000	-83.900000	359.999000	0.001000	True	2101,92
L		1631612263683	00031160	00006460	00000000	00000041	00000009	00000006	-61.813000	-155.880000	-83.900000	359.999000	0.001000	False	2680,29
L		1631612263698	00031162	00006462	00000000	00000041	00000013	00000004	-61.813000	-155.880000	-83.900000	359.999000	0.001000	False	325,5
L		1631612263698	00031164	00006464	00000000	00000041	00000017	00000004	-61.814000	-155.880000	-83.900000	359.999000	0.001000	False	2848,73
L		1631612263698	00031166	00006466	00000000	00000041	00000021	00000004	-61.814000	-155.880000	-83.900000	359.999000	0.001000	False	1729,54
L		1631612263698	00031168	00006468	00000000	00000041	00000025	00000004	-61.815000	-155.870000	-83.900000	359.999000	0.001000	True	1394,75
L		1631612263714	00031170	00006470	00000000	00000041	00000029	00000004	-61.816000	-155.850000	-83.900000	359.999000	-0.000200	True	770,91
L		1631612263714	00031173	00006473	00000000	00000041	00000035	00000006	-61.817000	-155.820000	-83.900000	359.999000	-0.000200	True	1583,13
L		1631612263714	00031177	00006477	00000000	00000041	00000043	00000008	-61.819000	-155.750000	-83.900000	359.999000	-0.000200	False	81,27
L		1631612263730	00031179	00006479	00000000	00000041	00000047	00000004	-61.819000	-155.710000	-83.900000	359.999000	-0.000200	True	2018,99
L		1631612263730	00031181	00006481	00000000	00000041	00000051	00000004	-61.819000	-155.670000	-83.900000	359.999000	-0.000200	True	2131,45
L		1631612263730	00031183	00006483	00000000	00000041	00000055	00000004	-61.819000	-155.630000	-83.900000	359.999000	-0.000200	True	480,6
L		1631612263730	00031185	00006485	00000000	00000041	00000059	00000004	-61.819000	-155.590000	-83.900000	359.999000	-0.000200	False	630,03
L		1631612263745	00031187	00006487	00000000	00000041	00000063	00000004	-61.819000	-155.550000	-83.900000	359.999000	-0.000200	False	2499,78
L		1631612263745	00031189	00006489	00000000	00000041	00000067	00000004	-61.819000	-155.500000	-83.900000	359.999000	-0.000100	False	919,67
L		1631612263745	00031191	00006491	00000000	00000041	00000071	00000004	-61.819000	-155.460000	-83.900000	359.999000	0.001000	True	449,43
L		1631612263761	00031193	00006493	00000000	00000041	00000075	00000004	-61.819000	-155.430000	-83.900000	359.999000	0.001000	False	1958,75
L		1631612263761	00031195	00006495	00000000	00000041	00000079	00000004	-61.820000	-155.400000	-83.900000	359.999000	0.001000	False	2866,61
L		1631612263761	00031197	00006497	00000000	00000041	00000083	00000004	-61.820000	-155.380000	-83.900000	359.999000	0.000150	True	99,48
L		1631612263761	00031199	00006499	00000000	00000041	00000087	00000004	-61.821000	-155.360000	-83.900000	359.999000	0.000140	False	2870,09
L		1631612263776	00031201	00006501	00000000	00000041	00000091	00000004	-61.821000	-155.350000	-83.900000	359.999000	0.000140	True	1020,5
L		1631612263776	00031203	00006503	00000000	00000041	00000095	00000004	-61.822000	-155.350000	-83.900000	359.999000	0.000130	False	1186,08
L		1631612263776	00031205	00006505	00000000	00000041	00000099	00000004	-61.822000	-155.340000	-83.900000	359.999000	0.000110	False	1676,81
L		1631612263776	00031207	00006507	00000000	00000041	00000103	00000004	-61.823000	-155.340000	-83.900000	359.999000	0.000110	True	1421,94
L		1631612263792	00031209	00006509	00000000	00000041	00000107	00000004	-61.823000	-155.340000	-83.900000	359.999000	0.000100	True	836,35
L		1631612263792	00031211	00006511	00000000	00000041	00000111	00000004	-61.824000	-155.340000	-83.900000	359.999000	0.001000	True	1666,64
L		1631612263792	00031213	00006513	00000000	00000041	00000115	00000004	-61.824000	-155.350000	-83.900000	359.999000	0.001000	True	2339,06
L		1631612263792	00031215	00006515	00000000	00000041	00000119	00000004	-61.825000	-155.350000	-83.900000	359.999000	0.001000	False	1832,66
L		1631612263808	00031218	00006518	00000000	00000041	00000125	00000006	-61.825000	-155.350000	-83.900000	359.999000	0.001000	True	2288,57
L		1631612263808	00031220	00006520	00000000	00000041	00000129	00000004	-61.825000	-155.360000	-83.900000	359.999000	0.001000	False	2095,18
L		1631612263808	00031223	00006523	00000000	00000041	00000135	00000006	-61.825000	-155.360000	-83.900000	359.999000	0.001000	True	50,71
L		1631612263823	00031226	00006526	00000000	00000041	00000141	00000006	-61.826000	-155.360000	-83.900000	359.999000	0.001000	False	1443,07
L		1631612263823	00031229	00006529	00000000	00000041	00000147	00000006	-61.826000	-155.350000	-83.900000	359.999000	0.001000	True	384,82
L		1631612263823	00031231	00006531	00000000	00000041	00000151	00000004	-61.826000	-155.350000	-83.900000	359.999000	0.001000	False	1742,92
L		1631612263839	00031233	00006533	00000000	00000041	00000155	00000004	-61.826000	-155.340000	-83.900000	359.999000	0.001000	True	2134,1
L		1631612263839	00031236	00006536	00000000	00000041	00000161	00000006	-61.827000	-155.340000	-83.900000	359.999000	0.001000	True	66,66
L		1631612263839	00031239	00006539	00000000	00000041	00000167	00000006	-61.828000	-155.340000	-83.900000	359.999000	0.001000	False	1127,14
L		1631612263855	00031241	00006541	00000000	00000041	00000171	00000004	-61.830000	-155.340000	-83.900000	359.999000	0.001000	True	736,82
L		1631612263855	00031243	00006543	00000000	00000041	00000175	00000004	-61.833000	-155.340000	-83.900000	359.999000	0.001000	False	2516,38
L		1631612263855	00031245	00006545	00000000	00000041	00000179	00000004	-61.838000	-155.340000	-83.900000	359.999000	0.001000	True	1901,66
L		1631612263855	00031247	00006547	00000000	00000041	00000183	00000004	-61.845000	-155.340000	-83.900000	359.999000	0.001000	False	1406,29
L		1631612263870	00031249	00006549	00000000	00000041	00000187	00000004	-61.855000	-155.350000	-83.900000	359.999000	0.001000	True	2070,84
L		1631612263870	00031251	00006551	00000000	00000041	00000191	00000004	-61.870000	-155.350000	-83.900000	359.999000	0.001000	False	2719,88
L		1631612263870	00031253	00006553	00000000	00000041	00000195	00000004	-61.889000	-155.350000	-83.900000	359.999000	0.001000	False	256,04
L		1631612263870	00031255	00006555	00000000	00000041	00000199	00000004	-61.914000	-155.350000	-83.900000	359.999000	0.001000	False	698,78
L		1631612263886	00031257	00006557	00000000	00000041	00000203	00000004	-61.944000	-155.350000	-83.900000	359.999000	0.001000	True	1911,54
L		1631612263886	00031259	00006559	00000000	00000041	00000207	00000004	-61.980000	-155.350000	-83.900000	359.999000	0.001000	True	1406,17
L		1631612263886	00031261	00006561	00000000	00000041	00000211	00000004	-62.023000	-155.350000	-83.900000	359.999000	0.001000	False	1346,51
L		1631612263886	00031263	00006563	00000000	00000041	00000215	00000004	-62.071000	-155.350000	-83.900000	359.999000	0.001000	True	1804,74
L		1631612263901	00031265	00006565	00000000	00000041	00000219	00000004	-62.126000	-155.350000	-83.900000	359.999000	0.001000	True	2805,03
L		1631612263901	00031267	00006567	00000000	00000041	00000223	00000004	-62.187000	-155.350000	-83.900000	359.999000	0.001000	False	2578,28
L		1631612263901	00031269	00006569	00000000	00000041	00000227	00000004	-62.252000	-155.350000	-83.900000	359.999000	0.001000	False	1848,02
L		1631612263917	00031271	00006571	00000000	00000041	00000231	00000004	-62.322000	-155.340000	-83.900000	359.999000	0.001000	False	1790,35
L		1631612263917	00031273	00006573	00000000	00000041	00000235	00000004	-62.396000	-155.340000	-83.900000	359.999000	0.001000	True	298,53
L		1631612263917	00031275	00006575	00000000	00000041	00000239	00000004	-62.472000	-155.340000	-83.900000	359.999000	0.001000	True	1654,09
L		1631612263917	00031278	00006578	00000000	00000041	00000245	00000006	-62.588000	-155.340000	-83.900000	359.999000	0.001000	False	2419,27
L		1631612263933	00031280	00006580	00000000	00000041	00000249	00000004	-62.665000	-155.340000	-83.900000	359.999000	0.001000	True	736,36
L		1631612263933	00031282	00006582	00000000	00000041	00000253	00000004	-62.741000	-155.340000	-83.900000	359.999000	0.001000	False	2627,17
L		1631612263933	00031284	00006584	00000000	00000041	00000257	00000004	-62.816000	-155.350000	-83.900000	359.999000	0.001000	True	1406,89
L		1631612263933	00031286	00006586	00000000	00000041	00000261	00000004	-62.889000	-155.350000	-83.900000	359.999000	0.001000	False	1159,33
L		1631612263948	00031288	00006588	00000000	00000041	00000265	00000004	-62.961000	-155.350000	-83.900000	359.999000	0.001000	True	2079,79
L		1631612263948	00031291	00006591	00000000	00000041	00000271	00000006	-63.064000	-155.350000	-83.900000	359.999000	0.001000	True	1076,88
L		1631612263948	00031293	00006593	00000000	00000041	00000275	00000004	-63.129000	-155.350000	-83.900000	359.999000	0.001000	True	2007,68
L		1631612263964	00031297	00006597	00000000	00000041	00000283	00000008	-63.250000	-155.350000	-83.900000	359.999000	0.001000	False	1709,94
L		1631612263964	00031299	00006599	00000000	00000041	00000287	00000004	-63.306000	-155.350000	-83.900000	359.999000	0.001000	False	2811,45
L		1631612263964	00031302	00006602	00000000	00000041	00000293	00000006	-63.391000	-155.350000	-83.900000	359.999000	0.001000	False	615,1
L		1631612263964	00031297	00006597	00000000	00000041	00000283	00000008	-63.250000	-155.350000	-83.900000	359.999000	0.001000	False	1709,94
